su-f-01.02.04.07;Bilan de la population résidante permanente selon les districts et les communes, en 2017 ;;;;;;;;;;
;;           ;           ;;;;;;;;
;;Composantes de l'évolution de la population;;;;;;;;Variation ;
;Etat de la ;Naissances ;Décès ;Accroissement;Arrivées 1) ;Départs ;Solde;Divergences;Etat de la ;en nombres;en %
;population ;vivantes ;;naturel;;;migratoire 1);statistiques;population ;absolus;
;au 1er janvier ;;;;;;;          ;au 31 décembre ;;
Suisse 2);8 419 550 ; 87 381 ; 66 971 ; 20 410 ; 681 011 ; 635 063 ; 45 948 ;- 1 778 ;8 484 130 ; 64 580 ;0,8
- Zürich;1 487 969 ; 17 070 ; 11 076 ; 5 994 ; 120 593 ; 108 666 ; 11 927 ;- 1 544 ;1 504 346 ; 16 377 ;1,1
>> Bezirk Affoltern; 52 904 ;  517 ;  310 ;  207 ; 4 501 ; 3 862 ;  639 ;  21 ; 53 771 ;  867 ;1,6
......0001 Aeugst am Albis; 1 977 ;  10 ;  7 ;  3 ;  129 ;  165 ;-  36 ;-  3 ; 1 941 ;-  36 ;-1,8
......0002 Affoltern am Albis; 11 900 ;  128 ;  93 ;  35 ; 1 239 ; 1 029 ;  210 ;  1 ; 12 146 ;  246 ;2,1
......0003 Bonstetten; 5 435 ;  47 ;  25 ;  22 ;  374 ;  322 ;  52 ;  3 ; 5 512 ;  77 ;1,4
......0004 Hausen am Albis; 3 571 ;  27 ;  20 ;  7 ;  298 ;  217 ;  81 ;  5 ; 3 664 ;  93 ;2,6
......0005 Hedingen; 3 687 ;  31 ;  20 ;  11 ;  224 ;  231 ;-  7 ;  3 ; 3 694 ;  7 ;0,2
......0006 Kappel am Albis; 1 110 ;  10 ;  10 ;- ;  108 ;  90 ;  18 ;-  3 ; 1 125 ;  15 ;1,4
......0007 Knonau; 2 168 ;  21 ;  11 ;  10 ;  253 ;  123 ;  130 ;-  3 ; 2 305 ;  137 ;6,3
......0008 Maschwanden;  626 ;  9 ;  5 ;  4 ;  59 ;  52 ;  7 ;  4 ;  641 ;  15 ;2,4
......0009 Mettmenstetten; 4 861 ;  60 ;  20 ;  40 ;  363 ;  388 ;-  25 ;  10 ; 4 886 ;  25 ;0,5
......0010 Obfelden; 5 131 ;  46 ;  25 ;  21 ;  551 ;  347 ;  204 ;- ; 5 356 ;  225 ;4,4
......0011 Ottenbach; 2 591 ;  15 ;  14 ;  1 ;  178 ;  197 ;-  19 ;-  4 ; 2 569 ;-  22 ;-0,8
......0012 Rifferswil; 1 078 ;  6 ;  4 ;  2 ;  85 ;  64 ;  21 ;  2 ; 1 103 ;  25 ;2,3
......0013 Stallikon; 3 646 ;  48 ;  16 ;  32 ;  325 ;  292 ;  33 ;  6 ; 3 717 ;  71 ;1,9
......0014 Wettswil am Albis; 5 123 ;  59 ;  40 ;  19 ;  315 ;  345 ;-  30 ;- ; 5 112 ;-  11 ;-0,2
>> Bezirk Andelfingen; 30 981 ;  300 ;  219 ;  81 ; 2 249 ; 2 060 ;  189 ;-  16 ; 31 235 ;  254 ;0,8
......0021 Adlikon;  666 ;  15 ;  3 ;  12 ;  38 ;  44 ;-  6 ;-  7 ;  665 ;-  1 ;-0,2
......0022 Benken (ZH);  857 ;  7 ;  10 ;-  3 ;  58 ;  57 ;  1 ;  3 ;  858 ;  1 ;0,1
......0023 Berg am Irchel;  567 ;  7 ;  5 ;  2 ;  33 ;  34 ;-  1 ;-  4 ;  564 ;-  3 ;-0,5
......0024 Buch am Irchel;  957 ;  15 ;  2 ;  13 ;  73 ;  71 ;  2 ;-  1 ;  971 ;  14 ;1,5
......0025 Dachsen; 1 998 ;  11 ;  11 ;- ;  79 ;  145 ;-  66 ;  4 ; 1 936 ;-  62 ;-3,1
......0026 Dorf;  629 ;  7 ;  4 ;  3 ;  94 ;  40 ;  54 ;  1 ;  687 ;  58 ;9,2
......0027 Feuerthalen; 3 596 ;  36 ;  35 ;  1 ;  295 ;  245 ;  50 ;-  6 ; 3 641 ;  45 ;1,3
